Congress,Name,District,Party,State,ImageUrl,Term
119,"Hinson, Ashley",2.0,Republican,Iowa,https://www.congress.gov/img/member/677ed0c7514c773869b6b920_200.jpg,House of Representatives: 2021
119,"Feenstra, Randy",4.0,Republican,Iowa,https://www.congress.gov/img/member/f000446_200.jpg,House of Representatives: 2021
119,"Underwood, Lauren",14.0,Democratic,Illinois,https://www.congress.gov/img/member/u000040_200.jpg,House of Representatives: 2019
119,"García, Jesús G. ""Chuy""",4.0,Democratic,Illinois,https://www.congress.gov/img/member/g000586_200.jpg,House of Representatives: 2019
119,"LaHood, Darin",16.0,Republican,Illinois,https://www.congress.gov/img/member/115_rp_il_18_lahood_darin_200.jpg,House of Representatives: 2015
119,"Massie, Thomas",4.0,Republican,Kentucky,https://www.congress.gov/img/member/m001184_200.jpg,House of Representatives: 2012
119,"Stutzman, Marlin A.",3.0,Republican,Indiana,https://www.congress.gov/img/member/67745e7e0b34857ecc90917f_200.jpg,"House of Representatives: 2010 - 2017
House of Representatives: 2025"
119,"Guthrie, Brett",2.0,Republican,Kentucky,https://www.congress.gov/img/member/g000558_200.jpg,House of Representatives: 2009
119,"Scalise, Steve",1.0,Republican,Louisiana,https://www.congress.gov/img/member/s001176_200.jpg,House of Representatives: 2008
119,"Fields, Cleo",6.0,Democratic,Louisiana,https://www.congress.gov/img/member/677426250b34857ecc90908f_200.jpg,"House of Representatives: 1993 - 1997
House of Representatives: 2025"
119,"McBride, Sarah",0.0,Democratic,Delaware,https://www.congress.gov/img/member/67744b460b34857ecc909143_200.jpg,House of Representatives: 2025
119,"Jack, Brian",3.0,Republican,Georgia,https://www.congress.gov/img/member/67742e330b34857ecc9090ef_200.jpg,House of Representatives: 2025
119,"Haridopolos, Mike",8.0,Republican,Florida,https://www.congress.gov/img/member/67742ab50b34857ecc9090cb_200.jpg,House of Representatives: 2025
119,"Moylan, James C.",,Republican,Guam,https://www.congress.gov/img/member/m001219_200.jpg,House of Representatives: 2023
119,"Moskowitz, Jared",23.0,Democratic,Florida,https://www.congress.gov/img/member/m001217_200.jpg,House of Representatives: 2023
119,"Mills, Cory",7.0,Republican,Florida,https://www.congress.gov/img/member/m001216_200.jpg,House of Representatives: 2023
119,"McCormick, Richard",7.0,Republican,Georgia,https://www.congress.gov/img/member/m001218_200.jpg,House of Representatives: 2023
119,"Luna, Anna Paulina",13.0,Republican,Florida,https://www.congress.gov/img/member/l000596_200.jpg,House of Representatives: 2023
119,"Lee, Laurel M.",15.0,Republican,Florida,https://www.congress.gov/img/member/l000597_200.jpg,House of Representatives: 2023
119,"Collins, Mike",10.0,Republican,Georgia,https://www.congress.gov/img/member/c001129_200.jpg,House of Representatives: 2023
119,"Bean, Aaron",4.0,Republican,Florida,https://www.congress.gov/img/member/b001314_200.jpg,House of Representatives: 2023
119,"Cherfilus-McCormick, Sheila",20.0,Democratic,Florida,https://www.congress.gov/img/member/c001127_200.jpg,House of Representatives: 2022
119,"Greene, Marjorie Taylor",14.0,Republican,Georgia,https://www.congress.gov/img/member/g000596_200.jpg,House of Representatives: 2021
119,"Franklin, Scott",18.0,Republican,Florida,https://www.congress.gov/img/member/f000472_200.jpg,House of Representatives: 2021
119,"Donalds, Byron",19.0,Republican,Florida,https://www.congress.gov/img/member/d000032_200.jpg,House of Representatives: 2021
119,"Buchanan, Vern",16.0,Republican,Florida,https://www.congress.gov/img/member/b001260_200.jpg,House of Representatives: 2007
119,"Castor, Kathy",14.0,Democratic,Florida,https://www.congress.gov/img/member/c001066_200.jpg,House of Representatives: 2007
119,"Tran, Derek",45.0,Democratic,California,https://www.congress.gov/img/member/6774606d0b34857ecc9091a9_200.jpg,House of Representatives: 2025
119,"Min, Dave",47.0,Democratic,California,https://www.congress.gov/img/member/67744ed90b34857ecc909155_200.jpg,House of Representatives: 2025
