LastName,Name,State,District,Party,Term,ImageUrl
Fischbach,"Fischbach, Michelle",Minnesota,7.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/f000470_200.jpg
Golden,"Golden, Jared F.",Maine,2.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/g000592_200.jpg
Craig,"Craig, Angie",Minnesota,2.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/c001119_200.jpg
Trahan,"Trahan, Lori",Massachusetts,3.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/t000482_200.jpg
Emmer,"Emmer, Tom",Minnesota,6.0,Republican,House of Representatives: 2015,https://www.congress.gov/img/member/e000294_200.jpg
Keating,"Keating, William R.",Massachusetts,9.0,Democratic,House of Representatives: 2011,https://www.congress.gov/img/member/k000375_200.jpg
Shreve,"Shreve, Jefferson",Indiana,6.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67745f0e0b34857ecc90918b_200.jpg
Schmidt,"Schmidt, Derek",Kansas,2.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67745ec50b34857ecc909185_200.jpg
Messmer,"Messmer, Mark",Indiana,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677448630b34857ecc909125_200.jpg
Tokuda,"Tokuda, Jill N.",Hawaii,2.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/t000487_200.jpg
Sorensen,"Sorensen, Eric",Illinois,17.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/s001225_200.jpg
Nunn,"Nunn, Zachary",Iowa,3.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/n000193_200.jpg
Jackson,"Jackson, Jonathan L.",Illinois,1.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/j000309_200.jpg
Houchin,"Houchin, Erin",Indiana,9.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/h001093_200.jpg
Budzinski,"Budzinski, Nikki",Illinois,13.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/b001315_200.jpg
Miller-Meeks,"Miller-Meeks, Mariannette",Iowa,1.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/m001215_200.jpg
Mrvan,"Mrvan, Frank J.",Indiana,1.0,Democratic,House of Representatives: 2021,https://www.congress.gov/img/member/m001214_200.jpg
Hinson,"Hinson, Ashley",Iowa,2.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/677ed0c7514c773869b6b920_200.jpg
Feenstra,"Feenstra, Randy",Iowa,4.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/f000446_200.jpg
Underwood,"Underwood, Lauren",Illinois,14.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/u000040_200.jpg
García,"García, Jesús G. ""Chuy""",Illinois,4.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/g000586_200.jpg
LaHood,"LaHood, Darin",Illinois,16.0,Republican,House of Representatives: 2015,https://www.congress.gov/img/member/115_rp_il_18_lahood_darin_200.jpg
Massie,"Massie, Thomas",Kentucky,4.0,Republican,House of Representatives: 2012,https://www.congress.gov/img/member/m001184_200.jpg
Stutzman,"Stutzman, Marlin A.",Indiana,3.0,Republican,"House of Representatives: 2010 - 2017
House of Representatives: 2025",https://www.congress.gov/img/member/67745e7e0b34857ecc90917f_200.jpg
Guthrie,"Guthrie, Brett",Kentucky,2.0,Republican,House of Representatives: 2009,https://www.congress.gov/img/member/g000558_200.jpg
Scalise,"Scalise, Steve",Louisiana,1.0,Republican,House of Representatives: 2008,https://www.congress.gov/img/member/s001176_200.jpg
Fields,"Fields, Cleo",Louisiana,6.0,Democratic,"House of Representatives: 1993 - 1997
House of Representatives: 2025",https://www.congress.gov/img/member/677426250b34857ecc90908f_200.jpg
McBride,"McBride, Sarah",Delaware,0.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67744b460b34857ecc909143_200.jpg
Jack,"Jack, Brian",Georgia,3.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742e330b34857ecc9090ef_200.jpg
